atom,Z,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c,RMSE
H,1,0.129,0.036,0.127,0.236,0,37.737,0.553,3.772,13.518,0,0,0.001
H-1,1,-37.647,-4.391,0.351,-13.954,0,1537.902,177.243,5.666,553.026,0,0,0.013
He,2,0.078,0.04,0.125,0.174,0,19.191,0.309,2.053,6.989,0,0,0
Li,3,1.39,0.119,0.394,1.379,0,117.035,0.588,6.083,36.687,0,0,0.003
Li1+,3,23.445,0.3,1.344,6.07,0,697.333,1.661,26.504,160.375,0,0,0.017
Be,4,1.065,0.118,0.439,1.428,0,66.144,0.461,4.485,21.589,0,0,0.002
Be2+,4,47.441,0.486,2.899,12.592,0,719.569,2.261,30.72,171.613,0,0,0.028
B,5,0.765,0.13,0.521,1.377,0,51.783,0.419,3.927,16.688,0,0,0.002
C,6,0.6,0.136,0.547,1.225,0,40.938,0.374,3.278,13.013,0,0,0.001
N,7,0.482,0.135,0.519,1.075,0,31.526,0.324,2.607,10.017,0,0,0.001
O,8,0.392,0.144,0.511,0.937,0,25.675,0.306,2.272,8.27,0,0,0.001
O-1,8,-23.228,0.383,1.281,-5.699,0,684.687,0.82,6.889,157.036,0,0,0.014
F,9,0.309,0.152,0.519,0.822,0,22.005,0.289,2.062,7.261,0,0,0.001
F-1,9,-65.246,-5.474,1.383,-16.441,0,1913.852,150.335,3.163,573.682,0,0,0.056
Ne,10,0.256,0.158,0.504,0.733,0,19.19,0.272,1.841,6.313,0,0,0
Na,11,1.972,0.331,0.985,1.483,0,118.259,0.493,4.081,31.374,0,0,0.006
Na1+,11,21.988,0.647,1.314,4.93,0,591.309,0.926,10.171,111.463,0,0,0.03
Mg,12,1.958,0.325,0.922,1.998,0,80.547,0.446,3.572,24.183,0,0,0.005
Mg2+,12,45.955,0.898,2.424,11.391,0,661.678,1.253,20.279,143.191,0,0,0.044
Al,13,1.913,0.359,0.974,2.638,0,80.5,0.454,3.78,23.357,0,0,0.006
Al3+,13,70.097,1.044,3.946,18.003,0,691.147,1.466,25.606,157.56,0,0,0.052
Si,14,1.762,0.362,0.974,2.725,0,64.441,0.428,3.553,19.406,0,0,0.005
Si4+,14,93.814,1.149,5.414,24.39,0,699.961,1.556,27.251,162.042,0,0,0.064
P,15,1.567,0.354,0.941,2.622,0,49.607,0.394,3.189,15.68,0,0,0.004
S,16,1.39,0.348,0.915,2.506,0,40.169,0.365,2.89,13.043,0,0,0.003
Cl,17,1.232,0.341,0.893,2.391,0,33.612,0.339,2.625,11.095,0,0,0.002
Cl-1,17,-120.636,3.287,0.666,-21.071,0,2803.538,9.276,0.647,429.353,0,0,0.118
Ar,18,1.075,0.341,0.9,2.263,0,28.97,0.323,2.487,9.764,0,0,0.002
K,19,3.532,0.566,2.414,2.457,0,150.836,0.507,5.768,31.814,0,0,0.015
K1+,19,21.404,0.813,3.119,4.603,0,551.389,0.729,8.788,92.632,0,0,0.04
Ca,20,3.88,0.547,2.281,3.194,0,109.54,0.47,5.048,29.73,0,0,0.012
Ca2+,20,43.972,1.016,3.338,9.863,0,590.914,0.879,10.27,111.139,0,0,0.06
Sc,21,3.431,0.539,2.211,3.117,0,98.119,0.444,4.574,26.467,0,0,0.011
Sc3+,21,67.922,1.556,3.959,16.329,0,637.938,1.408,15.853,132.285,0,0,0.072
Ti,22,3.078,0.539,2.158,2.992,0,90.552,0.428,4.223,24.193,0,0,0.01
Ti2+,22,44.391,1.378,3.305,10.205,0,605.298,1.172,11.843,117.047,0,0,0.057
Ti3+,22,68.102,1.636,3.967,16.436,0,640.957,1.411,16.042,133.181,0,0,0.073
Ti4+,22,92.443,1.843,5.142,23.098,0,669.282,1.626,20.734,146.166,0,0,0.085
V,23,2.792,0.542,2.109,2.854,0,84.561,0.414,3.932,22.411,0,0,0.009
V2+,23,43.753,1.173,3.249,9.725,0,583.132,0.885,9.79,107.432,0,0,0.064
V3+,23,68.061,1.7,3.933,16.367,0,639.296,1.398,16.111,132.795,0,0,0.073
V5+,23,116.315,2.025,6.558,29.693,0,684.515,1.734,24.066,154.335,0,0,0.095
Cr,24,1.989,0.548,2.072,2.352,0,87.861,0.403,3.698,20.054,0,0,0.009
Cr2+,24,44.348,1.493,3.173,10.163,0,603.76,1.16,11.729,116.79,0,0,0.058
Cr3+,24,68.055,1.747,3.882,16.334,0,638.559,1.374,16.077,132.403,0,0,0.073
Mn,25,2.354,0.555,2.013,2.579,0,75.291,0.394,3.485,19.714,0,0,0.008
Mn2+,25,43.699,1.257,3.106,9.674,0,581.489,0.871,9.523,106.837,0,0,0.065
Mn3+,25,68.103,1.793,3.844,16.397,0,640.24,1.352,16.202,132.923,0,0,0.074
Mn4+,25,92.167,1.968,5.049,22.918,0,665.233,1.513,20.603,144.881,0,0,0.085
Fe,26,2.177,0.563,1.966,2.453,0,71.621,0.387,3.307,18.67,0,0,0.007
Fe2+,26,43.687,1.292,3.029,9.662,0,581.141,0.861,9.421,106.746,0,0,0.065
Fe3+,26,67.162,1.603,3.65,15.701,0,618.91,1.091,13.661,123.602,0,0,0.082
Co,27,2.032,0.571,1.916,2.33,0,68.195,0.378,3.142,17.663,0,0,0.007
Co2+,27,43.661,1.323,2.952,9.644,0,580.545,0.848,9.327,106.584,0,0,0.065
Co3+,27,67.921,1.856,3.751,16.374,0,639.011,1.296,16.389,132.955,0,0,0.074
Ni,28,1.89,0.582,1.87,2.221,0,65.305,0.373,3.009,16.917,0,0,0.007
Ni2+,28,43.654,1.348,2.877,9.634,0,580.253,0.833,9.246,106.515,0,0,0.065
Ni3+,28,68.27,1.882,3.721,16.474,0,642.879,1.27,16.593,133.781,0,0,0.074
